date,datatype,station,attributes,value
2004-01-01T00:00:00,TAVG,GHCND:USR0000JEBF,",,U,",0.18776916451335057
2004-01-01T00:00:00,TAVG,GHCND:USW00013735,",,W,",0.18173987941429803
2004-01-01T00:00:00,TAVG,GHCND:USW00014734,",,W,",0.18690783807062877
2004-01-01T00:00:00,TAVG,GHCND:USW00014792,",,W,",0.18173987941429803
2004-01-01T00:00:00,TAVG,GHCND:USW00054743,",,W,",0.17226528854435832
2004-01-01T00:00:00,TAVG,GHCND:USW00054779,",,W,",0.17743324720068906
2004-01-01T00:00:00,TAVG,GHCND:USW00054785,",,W,",0.17743324720068906
2004-01-01T00:00:00,TAVG,GHCND:USW00054793,",,W,",0.16795865633074936
2004-01-01T00:00:00,TAVG,GHCND:USW00093730,",,W,",0.18690783807062877
2004-01-01T00:00:00,TAVG,GHCND:USW00093780,",,W,",0.18173987941429803
2004-01-01T00:00:00,TAVG,GHCND:USW00094741,",,W,",0.17743324720068906
2004-01-02T00:00:00,TAVG,GHCND:USW00013735,",,W,",0.18690783807062877
2004-01-02T00:00:00,TAVG,GHCND:USW00014734,",,W,",0.20155038759689925
2004-01-02T00:00:00,TAVG,GHCND:USW00014792,",,W,",0.18690783807062877
2004-01-02T00:00:00,TAVG,GHCND:USW00054743,",,W,",0.17226528854435832
2004-01-02T00:00:00,TAVG,GHCND:USW00054779,",,W,",0.18173987941429803
2004-01-02T00:00:00,TAVG,GHCND:USW00054785,",,W,",0.18173987941429803
2004-01-02T00:00:00,TAVG,GHCND:USW00054793,",,W,",0.17743324720068906
2004-01-02T00:00:00,TAVG,GHCND:USW00093730,",,W,",0.18690783807062877
2004-01-02T00:00:00,TAVG,GHCND:USW00093780,",,W,",0.18690783807062877
2004-01-02T00:00:00,TAVG,GHCND:USW00094741,",,W,",0.18690783807062877
2004-01-03T00:00:00,TAVG,GHCND:USW00013735,",,W,",0.25839793281653745
2004-01-03T00:00:00,TAVG,GHCND:USW00014734,",,W,",0.22997416020671835
2004-01-03T00:00:00,TAVG,GHCND:USW00014792,",,W,",0.22997416020671835
2004-01-03T00:00:00,TAVG,GHCND:USW00054743,",,W,",0.2248062015503876
2004-01-03T00:00:00,TAVG,GHCND:USW00054779,",,W,",0.2248062015503876
2004-01-03T00:00:00,TAVG,GHCND:USW00054785,",,W,",0.22997416020671835
2004-01-03T00:00:00,TAVG,GHCND:USW00054793,",,W,",0.22049956933677867
2004-01-03T00:00:00,TAVG,GHCND:USW00093730,",,W,",0.2678725236864772
2004-01-03T00:00:00,TAVG,GHCND:USW00093780,",,W,",0.22997416020671835
2004-01-03T00:00:00,TAVG,GHCND:USW00094741,",,W,",0.22997416020671835
2004-01-04T00:00:00,TAVG,GHCND:USW00013735,",,W,",0.24461670973298882
2004-01-04T00:00:00,TAVG,GHCND:USW00014734,",,W,",0.22049956933677867
2004-01-04T00:00:00,TAVG,GHCND:USW00014792,",,W,",0.21102497846683896
2004-01-04T00:00:00,TAVG,GHCND:USW00054743,",,W,",0.21102497846683896
2004-01-04T00:00:00,TAVG,GHCND:USW00054779,",,W,",0.21102497846683896
2004-01-04T00:00:00,TAVG,GHCND:USW00054785,",,W,",0.2153316106804479
2004-01-04T00:00:00,TAVG,GHCND:USW00054793,",,W,",0.2058570198105082
2004-01-04T00:00:00,TAVG,GHCND:USW00093730,",,W,",0.24892334194659776
2004-01-04T00:00:00,TAVG,GHCND:USW00093780,",,W,",0.2153316106804479
2004-01-04T00:00:00,TAVG,GHCND:USW00094741,",,W,",0.2153316106804479
