date,datatype,station,attributes,value
2004-01-01T00:00:00,TAVG,GHCND:USR0000IBAI,",,U,",0.3112183353437876
2004-01-01T00:00:00,TAVG,GHCND:USR0000IBIO,",,U,",0.2509047044632086
2004-01-01T00:00:00,TAVG,GHCND:USW00003868,",,W,",0.3365500603136308
2004-01-01T00:00:00,TAVG,GHCND:USW00003893,",,W,",0.3365500603136308
2004-01-01T00:00:00,TAVG,GHCND:USW00004846,",,W,",0.3027744270205066
2004-01-01T00:00:00,TAVG,GHCND:USW00014827,",,W,",0.3027744270205066
2004-01-01T00:00:00,TAVG,GHCND:USW00014829,",,W,",0.2967430639324487
2004-01-01T00:00:00,TAVG,GHCND:USW00014835,",,W,",0.3365500603136308
2004-01-01T00:00:00,TAVG,GHCND:USW00014848,",,W,",0.3027744270205066
2004-01-01T00:00:00,TAVG,GHCND:USW00053842,",,W,",0.32931242460796134
2004-01-01T00:00:00,TAVG,GHCND:USW00053866,",,W,",0.06151990349819053
2004-01-01T00:00:00,TAVG,GHCND:USW00093817,",,W,",0.3570566948130277
2004-01-01T00:00:00,TAVG,GHCND:USW00093819,",,W,",0.3437876960193003
2004-01-01T00:00:00,TAVG,GHCND:USW00094895,",,W,",0.31604342581423395
2004-01-02T00:00:00,TAVG,GHCND:USR0000IBAI,",,U,",0.41616405307599513
2004-01-02T00:00:00,TAVG,GHCND:USR0000IHAR,",,U,",0.44028950542822676
2004-01-02T00:00:00,TAVG,GHCND:USW00003868,",,W,",0.4499396863691194
2004-01-02T00:00:00,TAVG,GHCND:USW00003893,",,W,",0.44390832328106145
2004-01-02T00:00:00,TAVG,GHCND:USW00004846,",,W,",0.41737032569360666
2004-01-02T00:00:00,TAVG,GHCND:USW00014827,",,W,",0.41737032569360666
2004-01-02T00:00:00,TAVG,GHCND:USW00014829,",,W,",0.41737032569360666
2004-01-02T00:00:00,TAVG,GHCND:USW00014835,",,W,",0.43667068757539196
2004-01-02T00:00:00,TAVG,GHCND:USW00014848,",,W,",0.4234016887816646
2004-01-02T00:00:00,TAVG,GHCND:USW00053842,",,W,",0.44390832328106145
2004-01-02T00:00:00,TAVG,GHCND:USW00093817,",,W,",0.4644149577804583
2004-01-02T00:00:00,TAVG,GHCND:USW00093819,",,W,",0.44390832328106145
2004-01-02T00:00:00,TAVG,GHCND:USW00094895,",,W,",0.41737032569360666
2004-01-03T00:00:00,TAVG,GHCND:USR0000IBAI,",,U,",0.3449939686369119
2004-01-03T00:00:00,TAVG,GHCND:USR0000IHAR,",,U,",0.4728588661037394
2004-01-03T00:00:00,TAVG,GHCND:USW00003868,",,W,",0.4101326899879372
2004-01-03T00:00:00,TAVG,GHCND:USW00003893,",,W,",0.41737032569360666
2004-01-03T00:00:00,TAVG,GHCND:USW00004846,",,W,",0.37032569360675505
2004-01-03T00:00:00,TAVG,GHCND:USW00014827,",,W,",0.38962605548854035
2004-01-03T00:00:00,TAVG,GHCND:USW00014829,",,W,",0.3835946924004825
2004-01-03T00:00:00,TAVG,GHCND:USW00014835,",,W,",0.39686369119420983
2004-01-03T00:00:00,TAVG,GHCND:USW00014848,",,W,",0.376357056694813
2004-01-03T00:00:00,TAVG,GHCND:USW00053842,",,W,",0.4041013268998793
2004-01-03T00:00:00,TAVG,GHCND:USW00093817,",,W,",0.45717732207478884
2004-01-03T00:00:00,TAVG,GHCND:USW00093819,",,W,",0.4101326899879372
2004-01-03T00:00:00,TAVG,GHCND:USW00094895,",,W,",0.39686369119420983
2004-01-04T00:00:00,TAVG,GHCND:USR0000IBAI,",,U,",0.2653799758745476
2004-01-04T00:00:00,TAVG,GHCND:USR0000IHAR,",,U,",0.33534378769601925
2004-01-04T00:00:00,TAVG,GHCND:USW00003868,",,W,",0.31604342581423395
2004-01-04T00:00:00,TAVG,GHCND:USW00003893,",,W,",0.3365500603136308
2004-01-04T00:00:00,TAVG,GHCND:USW00004846,",,W,",0.26296743063932443
2004-01-04T00:00:00,TAVG,GHCND:USW00014827,",,W,",0.2895054282267792
2004-01-04T00:00:00,TAVG,GHCND:USW00014829,",,W,",0.26899879372738233
2004-01-04T00:00:00,TAVG,GHCND:USW00014835,",,W,",0.2967430639324487
2004-01-04T00:00:00,TAVG,GHCND:USW00014848,",,W,",0.26899879372738233
2004-01-04T00:00:00,TAVG,GHCND:USW00053842,",,W,",0.31001206272617604
2004-01-04T00:00:00,TAVG,GHCND:USW00093817,",,W,",0.39686369119420983
2004-01-04T00:00:00,TAVG,GHCND:USW00093819,",,W,",0.31604342581423395
2004-01-04T00:00:00,TAVG,GHCND:USW00094895,",,W,",0.3027744270205066
2004-01-05T00:00:00,TAVG,GHCND:USR0000IBAI,",,U,",0.2291917973462002
2004-01-05T00:00:00,TAVG,GHCND:USR0000IHAR,",,U,",0.2653799758745476
2004-01-05T00:00:00,TAVG,GHCND:USW00003868,",,W,",0.2291917973462002
2004-01-05T00:00:00,TAVG,GHCND:USW00003893,",,W,",0.26296743063932443
2004-01-05T00:00:00,TAVG,GHCND:USW00004846,",,W,",0.18938480096501803
2004-01-05T00:00:00,TAVG,GHCND:USW00014827,",,W,",0.2231604342581423
2004-01-05T00:00:00,TAVG,GHCND:USW00014829,",,W,",0.21592279855247282
2004-01-05T00:00:00,TAVG,GHCND:USW00014835,",,W,",0.20265379975874542
2004-01-05T00:00:00,TAVG,GHCND:USW00014848,",,W,",0.21592279855247282
2004-01-05T00:00:00,TAVG,GHCND:USW00053842,",,W,",0.23642943305186967
2004-01-05T00:00:00,TAVG,GHCND:USW00053866,",,W,",0.26296743063932443
2004-01-05T00:00:00,TAVG,GHCND:USW00093817,",,W,",0.26296743063932443
